charityID,charityNumFilings,designationID,categoryID,charityName,charityAccount,charityRegistrationDate,charityLanguage,charityAddress,charityCity,provinceID,charityPostalCode,countryID,charityContactPhone,charityEmail,charityURL
119772523RR0001,3,C,C170-99,Trajectoire Québec,Trajectoire Québec,2021-10-19,2,"50, RUE SAINTE-CATHERINE O, PORTE 430",MONTREAL,QC,H2X3V4,CA,,,
123783847RR0001,10,C,C170-1,FRIENDS OF THE KERRY WOOD NATURE CENTRE,Friends of the Kerry Wood Nature Centre,1990-02-02,1,6300-45 AVE,RED DEER,AB,T4N3M4,CA,(403)346-2010,BOOKSTORE@WASKASOOPARK.CA,
124659707RR0001,4,C,C170-1,COMITÉ DE PROMOTION DES RESSOURCES NATURELLES DE ST-ELZÉAR INC.,Comité de promotion des ressources naturelles de St-Elzéar Inc.,2020-11-24,2,126 RTE DU PARC,SAINT-ELZEAR-DE-BONAVENTURE,QC,G0C2W0,CA,,,
126479468RR0001,3,C,C170-1,MANITOBA HABITAT HERITAGE CORPORATION,Manitoba Habitat Heritage Corporation,2021-02-01,1,302 - 140 BANNATYNE AVE,WINNIPEG,MB,R3B3C5,CA,,,
126481530RR0001,11,C,C170-1,QUIDI VIDI RENNIES RIVER DEVELOPMENT FOUNDATION,QUIDI VIDI/RENNIES RIVER DEVELOPMENT FOUNDATION,1994-01-29,1,5 NAGLE'S PLACE,ST JOHN'S,NL,A1B2Z2,CA,(709)754-3474,NHAWKINS@FLUVARIUM.CA,WWW.FLUVARIUM.CA
128565884RR0001,11,C,C170-1,RAVEN RECYCLING SOCIETY,RAVEN RECYCLING SOCIETY,1993-01-01,1,100 GALENA ROAD,WHITEHORSE,YT,Y1A2W6,CA,(867)667-7269,ED@RAVENRECYCLING.ORG,WWW.RAVENRECYCLING.ORG
129355418RR0001,10,C,C170-1,Jour de la Terre Canada Earth Day Canada,Jour de la Terre Canada / Earth Day Canada,2009-07-16,2,5818 BOUL SAINT-LAURENT,MONTREAL,QC,H2T1T3,CA,,INFO@JOURDELATERRE.ORG,WWW.JOURDELATERRE.ORG
129462537RR0001,6,C,C170-1,CONSEIL REGIONAL DE L'ENVIRONNEMENT ET DU DÉVELOPPEMENT DURABLE DU SAGUENAY-LAC-SAINT-JEAN,Conseil régional de l'environnement et du développement durable du Saguenay-Lac-Saint-Jean,2018-09-18,2,503 RUE SACRE-COEUR O,ALMA,QC,G8B1M4,CA,,,
129814729RR0001,10,C,C170-1,ROUGE VALLEY FOUNDATION,ROUGE VALLEY FOUNDATION,1984-04-01,1,1749 MEADOWVALE ROAD,SCARBOROUGH,ON,M1B5W8,CA,(416)282-8265,INFO@RVCC.CA,WWW.RVCC.CA
130560188RR0001,11,C,C170-1,MAKEWAY CHARITABLE SOCIETY,Makeway Charitable Society,1990-10-12,1,8FLOOR - 333 SEYMOUR ST,VANCOUVER,BC,V6B5A6,CA,(604)647-6611,,www.makeway.org
130616717RR0001,10,C,C170-1,ENVIRONMENT NORTH,ENVIRONMENT NORTH,1994-01-01,1,8 COTTAGE DR. E.,NEEBING,ON,P7L0A9,CA,(807)964-2253,FLMATY@TBAYTEL.NET,WWW.ENVIRONMENTNORTH.CA
130694706RR0001,11,C,C170-1,NORTHEAST RED WATERSHED DISTRICT,NORTHEAST RED WATERSHED DISTRICT,1998-04-01,1,66156 PINERIDGE RD,SUNNYSIDE,MB,R5R0G9,CA,,,
130858863RR0001,11,C,C170-1,Les Amis de CANOPÉE,Les Amis de CANOPÉE,2012-06-13,2,49 RANG DE L'EQUERRE,LAVAL,QC,H7L6A3,CA,,,
131200800RR0001,11,C,C170-1,RIDEAU ENVIRONMENTAL ACTION LEAGUE,Rideau Environmental Action League,2010-02-01,1,P.O. BOX  1061,SMITHS FALLS,ON,K7A5A5,CA,,,
131719973RR0001,10,C,C170-1,MANUELS RIVER COMMUNITY INC.,MANUELS RIVER COMMUNITY INC.,1997-02-19,1,7 CONCEPTION BAY HIGHWAY,CONCEPTION BAY SOUTH,NL,A1W3A2,CA,(709)834-2099,INFO@MANUELSRIVER.COM,WWW.MANUELSRIVER.COM
133948729RR0001,8,C,C170-1,NORTHERN ENVIRONMENTAL ACTION TEAM,NORTHERN ENVIRONMENTAL ACTION TEAM,2005-06-08,1,10003 95 AVE,FORT ST. JOHN,BC,V1J1H9,CA,,,
134509827RR0001,9,C,C170-1,VIA AGRO-ECOLOGIE (REGROUPEMENT ENVIRONNEMENTAL),VIA AGRO-ECOLOGIE (REGROUPEMENT ENVIRONNEMENTAL),1994-02-01,2,"2425 RUE DE L'UNIVERSITE, PAVILLON PAUL COMTOIS,LOC.0114",QUEBEC,QC,G1V0A6,CA,(418)656-2131,VIAAGROECOLOGIE@FSAA.ULAVAL.CA,WWW.IAAGRO.FSAA.VLAVAL.CA
134820927RR0001,11,C,C170-99,EASTERN ONTARIO FOREST GROUP,EASTERN ONTARIO FOREST GROUP,1999-04-01,1,3 - 10 CAMPUS DR,KEMPTVILLE,ON,K0G1J0,CA,(613)258-6587,MODELFOREST@EOMF.ON.CA,WWW.EOMF.ON.CA
135366219RR0001,11,C,C170-1,BEDEQUE BAY ENVIRONMENTAL MANAGEMENT ASSOCIATION INC,BEDEQUE BAY ENVIRONMENTAL MANAGEMENT ASSOCIATION INC,1998-04-01,1,1929 NODD RD,KINKORA,PE,C0B1N0,CA,(902)886-3211,,WWW.BBEMA.CA
135939643RR0001,11,C,C170-1,ST CROIX ESTUARY PROJECT INC,ST CROIX ESTUARY PROJECT INC,2000-04-01,1,350 TODDS POINT RD,DUFFERIN CHARLOTTE CO,NB,E3L3R8,CA,(506)467-9905,GNPEVENTS@LIVA.CA,WWW.GANONGNATUREPARK.COM
135979722RR0001,11,C,C170-1,ATLANTIC COASTAL ACTION PROGRAM (ACAP) SAINT JOHN INC,ATLANTIC COASTAL ACTION PROGRAM (ACAP) SAINT JOHN INC.,1999-06-24,1,323 - 139 PRINCE EDWARD ST,SAINT JOHN,NB,E2L3S3,CA,(506)652-2227,OFFICE@ACAPSJ.ORG,WWW.ACAPSJ.COM
138393608RR0001,11,C,C170-1,Comité ZIP Gaspésie,COMITÉ DE PROTECTION DE LA BAIE DES CHALEURS,2000-04-01,2,"506, 132 RTE E",BONAVENTURE,QC,G0C1E0,CA,(418)534-2121,INFO@ZIPGASPESIE.ORG,WWW.ZIPGASPESIE.ORG
139322861RR0001,10,C,C170-1,Association des Membres et Amis pour la Protection de la Réserve Nationale de Faune du Lac Saint-Francois,ASSOCIATION DES MEMBRES ET AMIS POUR LA PROTECTION DE LA RESERVE NATIONALE DE FAUNE DU LAC SAINT-FRANCOIS,1999-04-01,2,7600 CH DE LA POINTE-FRASER,SAINTE-AGNES-DE-DUNDEE,QC,J0S1L0,CA,(450)264-5908,INFO@AMISRNFLACSTFRANCOIS.COM,WWW.AMISRNFLACSTFRANCOIS.COM
140508276RR0001,10,C,C170-1,Groupe d'éducation et d'écosurveillance de l'eau (G3E),Groupe d'éducation et d'écosurveillance de l'eau (G3E),2011-07-21,2,"69 AVE JUCHEREAU, CP 700",QUÉBEC,QC,G1R4S9,CA,,,
140579962RR0001,10,C,C170-1,LANGLEY ENVIRONMENTAL PARTNERS SOCIETY,LANGLEY ENVIRONMENTAL PARTNERS SOCIETY,2000-01-01,1,201 4839 221 STREET,LANGLEY,BC,V3A2P1,CA,(604)340-9596,FINANCE@LEPS.BC.CA,WWW.LEPS.BC.CA
140691866RR0001,4,C,C170-1,CONSEIL DU PAYSAGE QUEBECOIS,CONSEIL DU PAYSAGE QUEBECOIS,2000-01-01,2,1910 RUE SHEPPARD,QUEBEC,QC,G1S1L2,CA,(418)683-9392,CONSEIL@PAYSAGE.QC.CA,WWW.PAYSAGE.QC.CA
140783861RR0001,11,C,C170-1,EASTERN CHARLOTTE WATERWAYS INC,EASTERN CHARLOTTE WATERWAYS INC,1996-04-01,1,881 MAIN STREET,BLACKS HARBOUR,NB,E5H1E6,CA,(506)456-6001,INFO@ECWINC.ORG,WWW.ECWINC.ORG
140871559RR0001,11,C,C170-1,CONSERVATION BAIE MISSISQUOI INC,Conservation Baie Missisquoi inc.,2013-01-22,2,2308 RUE LEON,CLARENCEVILLE,QC,J0J1B0,CA,(514)552-6448,CONSERVATIONBAIEMISSISQUOI@GMAIL.COM,CONSERVATIONBAIEMISSISQUOI.BLOGSPOT.CA
141156158RR0001,2,C,C170-1,Conseil régional de l'environnement Chaudière-Appalaches (creca),Conseil régional de l'environnement Chaudière-Appalaches,2022-08-10,2,2485 RUE SAINTE-HELENE,LEVIS,QC,G6Z7K7,CA,(418)832-2722,creca@creca.qc.ca,www.creca.qc.ca
141477380RR0001,11,C,C170-1,Comité de Surveillance Louis-Riel-Hochelaga,COMITÉ DE SURVEILLANCE LOUIS-RIEL,1998-01-01,2,6751A RUE BEAUBIEN EST,MONTREAL,QC,H1M3B2,CA,(514)899-0642,COORDINATION@CSLOUISRIEL.ORG,WWW.CSLOUISRIEL.ORG
142691476RR0001,10,C,C170-1,CENTRE HELIOS HELIOS CENTRE,CENTRE HELIOS/HELIOS CENTRE,2001-01-01,2,"326, BOUL. SAINT-JOSEPH E, PORTE 100",MONTREAL,QC,H2T1J2,CA,(514)849-7900,PHILIP@CENTREHELIOS.ORG,WWW.CENTREHELIOS.ORG
144945730RR0001,11,C,C170-1,ASSOCIATION DU MONT O'BRIEN MONT O'BRIEN ASSOCIATION,Association du Mont O'Brien / Mont O'Brien Association,2011-11-11,1,CASIER POSTALE 904,ALLEYN-ET-CAWOOD,QC,J0X1P0,CA,(819)467-2219,,WWW.MONTOBRIENASSOCIATION.ORG/
144969144RR0001,10,C,C170-1,Centre Sportif et Culturel du Collége St-Jean-Vianney,CENTRE SPORTIF ET CULTUREL DU COLLEGE ST-JEAN-VIANNEY,2005-03-30,2,"12630, BOULEVARD GOUIN EST",MONTREAL,QC,H1C1B9,CA,(418)640-2074,,
145059911RR0002,2,C,C170-99,Fondation rivières/Rivers foundation,Fondation rivières/Rivers Foundation,2022-03-24,2,2 - 454 AV LAURIER E,MONTREAL,QC,H2J1E7,CA,(514)272-2666 Ext. 23,fr@fondationrivieres.org,www.fondationrivieres.org
700546104RR0001,2,C,C170-1,Action Adstock pour le respect et la protection de l'environnement,Action Adstock pour le respect et la protection de l'environnement,2022-11-12,2,29 CH DU BOCAGE,ADSTOCK,QC,G0N1S0,CA,(418)265-3102,AARPE2022@outlook.com,
701727133RR0001,3,C,C170-1,MOUNTAIN WILDLIFE CONSERVATION SOCIETY,Mountain Wildlife Conservation Society,2021-11-15,1,300 - 1060 AUSTIN AVE,COQUITLAM,BC,V3K3P3,CA,(250)619-8415,mountainwildlifeconservation@gmail.com,
703168674RR0001,3,C,C170-2,Don't Mess with the Don,Don't Mess with the Don,2021-05-03,1,66 WESTWOOD AVE,EAST YORK,ON,M4K2A8,CA,(416)986-4496,Info@dontmesswiththedon.ca,www.dontmesswiththedon.ca
704172725RR0001,5,C,C170-1,AWINAKOLA FOUNDATION,AWINAKOLA FOUNDATION,2019-07-01,1,300 - 1208 PENDER ST W,VANCOUVER,BC,V6E2S8,CA,,victoria@beneficgroup.com,
705567287RR0001,2,C,C170-1,R & E Ocean Community Conservation,R & E Ocean Community Conservation,2021-04-06,1,2580 VALLEYRIDGE DR,OAKVILLE,ON,L6M5H5,CA,,info@oceancommunityconservation.org,oceancommunityconservation.org
706146404RR0001,2,C,C170-1,NWST Charitable Foundation,NWST Charitable Foundation,2023-05-09,1,9693 45 AVE NW,EDMONTON,AB,T6E5Z8,CA,(825)254-7171,rbs@nwstl.ca,www.nwstl.ca
706842937RR0001,2,C,C170-2,COLLINGWOOD CLIMATE ACTION TEAM,Collingwood Climate Action Team,2021-11-17,1,354 CEDAR ST,COLLINGWOOD,ON,L9Y3B1,CA,,collingwoodcat@gmail.com,www.collingwoodclimateaction.com
708960539RR0001,2,C,C170-1,Simon Lake Stewardship,Simon Lake Stewardship,2022-01-01,1,69 SIMON LAKE DR,NAUGHTON,ON,P0M2M0,CA,,,
708983549RR0001,1,A,C170-1,YEK W EMTUS FOUNDATION,Yek W Emtus Foundation,2023-09-23,1,1130 - 400 BURRARD ST,VANCOUVER,BC,V6C3A6,CA,,,
710520289RR0001,5,C,C170-1,WEST BEND GREEN COMMUNITY,West Bend Green Community,2019-03-07,1,"31 INDIAN ROAD CRESCENT,",TORONTO,ON,M6P2E9,CA,,ksharratt@bell.net,
713297893RR0001,7,C,C170-1,HORIZON-NATURE BAS-SAINT-LAURENT,HORIZON-NATURE BAS-SAINT-LAURENT,2017-11-10,2,103 - 570L RUE SAINT-GERMAIN E,RIMOUSKI,QC,G5L1G4,CA,,,
713976736RR0001,1,C,C170-2,Emissions Reduction Now,Emissions Reduction Now,2023-09-07,2,600 - 1250 RUE GUY,MONTREAL,QC,H3H2L3,CA,,info@emissionsreductionnow.com,https://emissionsreductionnow.com/
714254687RR0001,4,C,C170-2,LA TRANSFORMERIE,La Transformerie,2020-11-17,2,10322 RUE SAINT-DENIS,MONTREAL,QC,H3L2J1,CA,,,
715624128RR0001,5,C,C170-1,RUGGED COAST RESEARCH SOCIETY,Rugged Coast Research Society,2019-04-01,1,1840 KELSIE RD,NANAIMO,BC,V9X1B7,CA,,,
718814932RR0001,3,C,C170-1,Junglekeepers,Junglekeepers,2021-09-02,1,5710 RUE SAINT-ANDRE,MONTREAL,QC,H2S2K1,CA,(514)804-8812,contact@junglekeepers.org,www.junglekeepers.com
720704295RR0001,5,C,C170-99,OCEANS NORTH CONSERVATION SOCIETY,Oceans North Conservation Society,2020-01-27,1,"SUITE 301-302, 236 METCALFE ST",OTTAWA,ON,K2P1R3,CA,,,
721702520RR0001,6,C,C170-1,CANADIAN FRIENDS OF STOWE LAND TRUST,Canadian Friends of Stowe Land Trust / Amis Canadiens de la Fiducie Foncière de Stowe,2017-10-01,1,28 PLACE RICHELIEU,MONTREAL,QC,H3G1E8,CA,,,
721832319RR0001,2,C,C170-1,My Tree Planet (Canada),My Tree Planet (Canada),2019-01-23,1,424 BALLIOL ST,TORONTO,ON,M4S1E2,CA,,sean@lawgenie.ca,
722301405RR0001,2,B,C170-1,FRIENDS OF LAKE EUGENIA,Friends of Lake Eugenia,2022-09-16,1,161 NAPIER ST W,THORNBURY,ON,N0H2P0,CA,,helplakeeugenia@gmail.com,www.helplakeeugenia.com
725600522RR0001,5,C,C170-1,Saskatchewan Stock Growers Foundation INC.,Saskatchewan Stock Growers Foundation Inc.,2019-12-05,1,PO BOX 37078 RPO LANDMARK,REGINA,SK,S4S7K3,CA,,ssga@sasktel.net,
726219330RR0001,3,C,C170-1,DOUBLE BAY SANCTUARY FOUNDATION,Double Bay Sanctuary Foundation,2021-01-01,1,"PO BOX 246, GD",PORT MCNEILL,BC,V0N2R0,CA,,,
726608680RR0001,3,C,C170-1,BEAUFORT WATERSHED STEWARDS,Beaufort Watershed Stewards,2021-09-27,1,PO BOX 253,UNION BAY,BC,V0R3B0,CA,,info@beaufortwater.org,www.beaufortwater.org
727136327RR0001,6,C,C170-1,LIVING LAKES CANADA SOCIETY,Living Lakes Canada Society,2018-04-18,1,202A - 330 BAKER ST,NELSON,BC,V1L4H5,CA,,,
727744880RR0001,6,C,C170-1,Fondation pour la Conservation et la Protection Environnementale du Bassin Versant du Lac des Sittelles,Fondation pour la Conservation et la Protection Environnementale du Bassin Versant du Lac des Sittelles,2019-07-10,2,1 RUE DU LAC-DES-SITTELLES,AUSTIN,QC,J0B1B0,CA,,alan@ahlco.biz,
727895740RR0001,1,C,C170-1,Forêt de L'Isle,Forêt de L'Isle,2023-12-13,1,91 CHEMIN M,CHAPEAU,QC,J0X1M0,CA,,,www.foretdelisle.ca
728499724RR0001,4,A,C170-1,Aster Foundation Inc.,Aster Foundation Inc.,2020-05-11,1,28 HIGH MARSH RD,SACKVILLE,NB,E4L1K2,CA,(506)536-7560,Foundation.aster.foundation@gmail.com,
730195070RR0001,1,C,C170-99,HALIBURTON HIGHLANDS GREEN BURIAL SOCIETY INC.,Haliburton Highlands Green Burial Society INC.,2023-12-12,1,1193 BRAELOCH RD,ALGONQUIN HIGHLANDS,ON,K0M1S0,CA,(705)306-9254,hhgreenburialsociety@gmail.com,www.haliburtongreenburial.ca
730332871RR0001,4,C,C170-5,Les Gratuivores du Saguenay,Les Gratuivores du Saguenay,2021-09-28,2,101 RUE BOURGET,CHICOUTIMI,QC,G7G4V7,CA,,,
730903499RR0001,6,C,C170-1,Association du bassin versant du lac blue sea,Association du Bassin Versant du Lac Blue Sea,2018-09-05,2,70 RUE PRINCIPALE,MESSINES,QC,J0X2J0,CA,,,
732238472RR0002,1,C,C170-99,Forêt Capitale Forest,Forêt Capitale Forest,2023-07-19,1,1339 AVENUE R,OTTAWA,ON,K1G0C1,CA,,info@foretcapitaleforest.ca,foretcapitaleforest.ca
733159479RR0001,3,C,C170-99,QUADRA ISLAND CLIMATE ACTION NETWORK SOCIETY,Quadra Island Climate Action Network Society,2022-01-10,1,PO BOX 404,HERIOT BAY,BC,V0P1H0,CA,,quadraicansociety@gmail.com,www.quadraican.ca
734490311RR0001,4,C,C170-1,COASTAL RIVERS CONSERVANCY,Coastal Rivers Conservancy,2020-12-04,1,10809 MOUNTFORD AVE,SUMMERLAND,BC,V0H1Z2,CA,(250)462-8524,info@coastalriversconservancy.org,www.coastalriversconservancy.org
736636408RR0001,2,C,C170-1,WABAMUN WATERSHED MANAGEMENT COUNCIL,Wabamun Watershed Management Council,2022-10-21,1,PO BOX 1005,WABAMUN,AB,T0E2K0,CA,,info@wwmc.ca,www.wwmc.ca
736685116RR0001,4,C,C170-1,Endangered Ecosystems Alliance,Endangered Ecosystems Alliance,2021-11-25,1,PO BOX 21573 RPO LITTLE,VANCOUVER,BC,V5L5G2,CA,,info@endangeredecosystemsalliance.org,endangeredecosystemsalliance.org
737332130RR0001,3,C,C170-2,Deep Blue Cleanup - Nettoyage Grand Bleu,Deep Blue Cleanup - Nettoyage Grand Bleu,2021-04-01,1,2956 BARLOW CRES,DUNROBIN,ON,K0A1T0,CA,(438)356-9283,melanie@deepbluecleanup.com,www.deepbluecleanup.com
737663484RR0001,1,C,C170-1,Fondation Greenplace International,Fondation Greenplace International / Greenplace International Foundation,2023-09-21,2,77 RUE DE LA SARCELLE,VARENNES,QC,J3X2A2,CA,(450)652-6870,planet.sos@hotmail.com,www.planetsos.org
738660406RR0001,2,C,C170-99,Hope Network for the Ecosystem,Hope Network for the Ecosystem,2022-08-05,1,43 ROLLINGWOOD DR,NORTH YORK,ON,M2H2M4,CA,,,
738811470RR0001,5,C,C170-1,Friends of the Gatineau River,Friends of the Gatineau River,2020-04-09,1,347 CH DE LA RIVIERE,CHELSEA,QC,J9B2M6,CA,(613)298-7694,ontheriver@fog-arg.org,fog-arg.org/
739832517RR0001,5,C,C170-1,CHUTE CREEK STEWARDSHIP SOCIETY,CHUTE CREEK STEWARDSHIP SOCIETY,2019-02-07,1,510 - 5525 WEST BOULEVARD,VANCOUVER,BC,V6M3W6,CA,,,
740407739RR0001,1,C,C170-5,COSED CANADA,COSED Canada,2022-10-21,2,6 - 1 RUE DE LA SABLIERE,GATINEAU,QC,J8Z3L7,CA,(819)661-2051,ongcosed@gmail.com,agl012.wixsite.com/mysite
740918347RR0001,1,C,C170-1,CGLR Canada Foundation,CGLR Canada Foundation,2024-01-17,1,3247 CLEARWATER CRESCENT,OTTAWA,ON,K1V7S3,CA,,,
744122730RR0001,3,C,C170-1,NORTH SAANICH PARKS ECOSYSTEM RESTORATION SOCIETY,North Saanich Parks Ecosystem Restoration Society,2021-11-29,1,9768 THIRD ST,SIDNEY,BC,V8L3A4,CA,,,fnsp.ca
744185539RR0001,2,C,C170-1,Capitale Nature,Capitale Nature,2022-08-31,2,140 - 870 AV DE SALABERRY,QUEBEC,QC,G1R2T9,CA,,info@capitalenature.org,www.capitalenature.org
745761692RR0001,3,C,C170-1,Bee City Canada,Bee City Canada,2017-01-01,1,17 - 1875 LESLIE ST,NORTH YORK,ON,M3B2M5,CA,,,
746384700RR0001,1,C,C170-1,All Our Relations Land Trust,All Our Relations Land Trust,2023-01-01,1,3458 BUCK POINT LANE,INVERARY,ON,K0H1X0,CA,,allourrelationslandtrust@gmail.com,
747647733RR0001,3,C,C170-2,Green Light NB Enviro Club Feu Vert Inc.,Green Light NB Enviro Club Feu Vert Inc.,2021-12-20,1,399 ROUTE 255,SAINT-ANDRE,NB,E3Y2V5,CA,,greenlight.feuvert@gmail.com,
748567096RR0001,3,C,C170-1,GEORGIAN BAY GREAT LAKES FOUNDATION,Georgian Bay Great Lakes Foundation,2021-07-31,1,321 KINGSCROSS DR,KING CITY,ON,L7B1J9,CA,(905)833-2020,info@georgianbaygreatlakesfoundation.com,www.georgianbaygreatlakesfoundation.com
749456281RR0001,3,C,C170-99,Climatable Association,Climatable Association / Association Climatable,2019-09-04,1,4 - 5119 RUE SAINT-DENIS,MONTREAL,QC,H2J2M1,CA,,info@climatable.org,
750452070RR0001,3,C,C170-99,Canmore Community Cruiser Bike Share Society,Canmore Community Cruiser Bike Share Society,2021-01-27,1,621 5 ST,CANMORE,AB,T1W2E9,CA,,canmorecommunitycruisers@gmail.com,www.communitycruisers.ca
751364308RR0001,2,C,C170-1,Association pour la protection du lac de l'Achigan,Association pour la protection du lac de l'Achigan,2022-10-24,2,CP 53 SUCC BUREAU-CHEF,SAINT-HIPPOLYTE,QC,J8A3P4,CA,,info@aplaweb.ca,www.aplaweb.ca
753179936RR0001,3,C,C170-1,BEAVER HILLS BIOSPHERE REGION ASSOCIATION,Beaver Hills Biosphere Reserve Association,2021-10-27,1,17503 45 AVE NW,EDMONTON,AB,T6M2N3,CA,(780)483-1885,info@beaverhills.ca,www.beaverhills.ca
754158145RR0001,1,C,C170-1,Association des Riverains de la chaîne de lacs,Association des riverains de la chaine de lacs,2023-08-07,2,14 CH DES QUENOUILLES,ORFORD,QC,J1X6N9,CA,,arcdl@hotmail.com,www.arcdl.org
755435872RR0001,4,B,C170-1,Tadenac Conservation Foundation,Tadenac Conservation Foundation,2021-07-26,1,26 DAVY POINT CIR,KESWICK,ON,L4P3H3,CA,,,
755814803RR0001,2,C,C170-1,INITIATIVES BIODIVERSITÉ,Initiatives Biodiversité,2022-11-22,2,11655 RUE DE L'AGATE,MIRABEL,QC,J7N0E6,CA,,info@initiativesbiodiversite.org,www.initiativesbiodiversite.org
757405477RR0001,3,C,C170-3,Fonds Climat du Grand Montréal / Greater Montreal Climate Fund,Greater Montreal Climate Fund / Fonds Climat du Grand Montréal,2021-04-01,1,101 - 1095 RUE SAINT-ALEXANDRE,MONTREAL,QC,H2Z1P8,CA,(514)395-8823,,montrealclimatecentre.com/
759598741RR0001,2,C,C170-1,CANADIANS LOCALLY IMPROVING COMMUNITIES SOCIETY,Canadians Locally Improving Communities Society,2022-08-26,1,1800 - 510 GEORGIA ST W,VANCOUVER,BC,V6B0M3,CA,,theclicsociety@gmail.com,www.theclic.ca
761741727RR0001,6,C,C170-1,Institut des territoires,Institut des territoires,2018-05-01,2,309 RUE DE VILLEMURE,SAINT-JEROME,QC,J7Z5J5,CA,,,
